 ,BX,BY,Width,Height,Slice
1,33.000,26.804,0.130,1.304,1
2,32.804,39.848,0.391,1.565,72
3,32.804,47.804,0.261,1.435,113
4,32.674,49.826,0.391,1.500,125
5,32.804,51.848,0.391,1.565,138
6,32.804,52.761,0.457,2.022,146
7,32.478,53.022,0.783,2.348,149
8,32.087,53.543,1.109,2.609,153
9,32.609,53.870,0.717,3.000,157
10,32.283,54.065,0.848,3.391,161
11,32.022,54.065,1.174,3.848,165
12,31.826,54.065,0.848,4.304,170
13,31.565,54.065,1.109,4.696,175
14,32.413,53.739,0.652,5.152,181
15,32.413,53.413,0.652,5.217,189
16,32.413,52.826,0.652,5.348,194
17,32.413,51.848,0.652,4.761,204
18,32.413,50.870,0.652,4.109,213
