 ,BX,BY,Width,Height,Slice
1,82.778,83.704,1.481,1.667,1
2,82.407,82.778,2.037,2.037,76
3,81.667,82.037,3.333,3.148,92
4,80.741,81.111,5.000,4.815,100
5,79.444,80.000,7.222,7.222,108
6,78.148,78.519,10.000,9.815,116
7,77.222,77.407,11.667,11.481,122
8,76.111,76.481,13.704,13.148,128
9,75.185,75.370,15.370,15.000,133
10,74.259,74.259,17.222,16.667,142
11,73.519,73.333,18.704,18.519,149
12,72.222,72.222,20.556,20.370,159
13,71.296,71.667,22.037,21.296,170
14,70.741,71.111,21.852,22.037,181
15,69.815,71.111,20.926,21.111,191
16,69.815,71.111,0.185,0.185,206
