 ,BX,BY,Width,Height,Slice
1,41.526,22.895,0.237,0.868,1
2,41.684,42.237,0.079,0.868,40
3,41.684,45.237,0.158,0.947,74
4,41.684,50.447,0.237,0.947,92
5,41.605,56.763,0.158,0.947,115
6,41.526,64.579,0.237,1.026,147
7,41.289,69.237,0.237,1.026,170
8,40.816,72.316,0.316,1.105,189
9,40.500,73.342,0.237,1.105,200
10,40.342,73.579,0.237,1.026,205
11,40.184,73.895,0.237,0.868,210
12,39.632,74.132,0.158,0.789,220
13,39.079,74.053,0.158,0.711,228
14,38.526,73.579,0.158,0.789,238
15,37.974,72.553,0.237,0.868,250
16,37.263,69.553,0.316,1.105,273
