 ,BX,BY,Width,Height,Slice
1,58.500,70.500,1.333,1.333,1
2,58.500,70.500,1.333,1.333,30
3,58.000,70.667,1.333,1.333,60
4,57.667,71.000,1.333,1.333,90
5,57.167,71.500,1.333,1.333,120
6,56.833,72.000,1.500,1.500,150
7,56.500,72.500,1.667,1.667,180
8,55.833,72.833,2.333,2.167,210
9,55.667,72.833,2.500,2.667,220
10,55.500,73.000,2.667,2.833,230
11,55.167,73.000,3.000,3.000,240
12,55.000,73.000,3.167,3.167,250
13,55.000,73.000,3.167,3.167,260
14,54.667,73.167,3.000,2.833,270
15,54.667,73.500,2.500,2.333,280
